Município;População;Posição
Campo do Tenente;7 693;230
Coronel Domingos Soares;7 580;231
Antônio Olinto;7 578;232
Tunas do Paraná;7 559;233
Goioxim;7 517;234
Borrazópolis;7 497;235
Luiziana;7 471;236
Quatiguá;7 410;237
Formosa do Oeste;7 296;238
Paulo Frontin;7 291;239
Marilena;7 134;240
Renascença;6 984;241
Jussara;6 963;242
Bom Sucesso;6 944;243
Sapopema;6 908;244
Itambaracá;6 852;245
Vitorino;6 828;246
Nova Tebas;6 792;247
São Carlos do Ivaí;6 756;248
Pérola d'Oeste;6 746;249
Boa Ventura de São Roque;6 683;250
Nova Cantu;6 650;251
Mariópolis;6 585;252
Sabáudia;6 585;253
São José da Boa Vista;6 539;254
Guairaçá;6 531;255
Floresta;6 467;256
Pinhalão;6 425;257
Francisco Alves;6 415;258
São Pedro do Iguaçu;6 388;259
Ibema;6 352;260
Grandes Rios;6 337;261
Adrianópolis;6 333;262
Laranjal;6 292;263
Enéas Marques;6 195;264
Itambé;6 192;265
Janiópolis;6 114;266
Doutor Camargo;6 047;267
São João do Caiuá;6 038;268
Xambrê;6 016;269
São Jorge do Patrocínio;6 015;270
Perobal;5 995;271
Maria Helena;5 982;272
Ouro Verde do Oeste;5 976;273
Fernandes Pinheiro;5 954;274
Amaporã;5 953;275
Tapira;5 851;276
Doutor Ulysses;5 808;277
Maripá;5 793;278
Nova Olímpia;5 782;279
Paula Freitas;5 773;280
Honório Serpa;5 769;281
Braganey;5 742;282
Sertaneja;5 724;283
São Jorge do Ivaí;5 674;284
São Tomé;5 657;285
Pranchita;5 558;286
Santo Inácio;5 481;287
Diamante do Norte;5 463;288
Guaraci;5 434;289
Mercedes;5 398;290
Saudade do Iguaçu;5 372;291
Rosário do Ivaí;5 367;292
Pato Bragado;5 304;293
Santana do Itararé;5 267;294
Diamante D'Oeste;5 259;295
Foz do Jordão;5 210;296
Nova Esperança do Sudoeste;5 206;297
Salto do Itararé;5 201;298
Jaboti;5 197;299
Lindoeste;5 187;300
Presidente Castelo Branco;5 144;301
Lunardelli;5 127;302
Floraí;5 126;303
Japira;5 071;304
Tamboara;4 991;305
Quinta do Sol;4 985;306
Fênix;4 908;307
Marquinho;4 871;308
Lupionópolis;4 859;309
Quarto Centenário;4 824;310
Flor da Serra do Sul;4 802;311
Porto Amazonas;4 782;312
Marumbi;4 755;313
Lobato;4 690;314
Serranópolis do Iguaçu;4 652;315
Itaguajé;4 639;316
Cruzeiro do Sul;4 637;317
Espigão Alto do Iguaçu;4 542;318
Indianópolis;4 481;319
Boa Esperança;4 478;320
Kaloré;4 438;321
Ramilândia;4 385;322
Cruzeiro do Iguaçu;4 376;323
Entre Rios do Oeste;4 306;324
Cafezal do Sul;4 288;325
Planaltina do Paraná;4 277;326
Iguaraçu;4 275;327
Campo Bonito;4 259;328
Leópolis;4 165;329
Nova Santa Bárbara;4 163;330
Porto Vitória;4 143;331
Salgado Filho;4 142;332
Campina do Simão;4 096;333
Rio Branco do Ivaí;4 088;334
Virmond;4 085;335
Nossa Senhora das Graças;4 064;336
Atalaia;4 004;337
Quatro Pontes;3 998;338
Rancho Alegre;3 990;339
Santa Lúcia;3 976;340
Guapirama;3 950;341
Munhoz de Melo;3 909;342
Santa Mônica;3 849;343
Bela Vista da Caroba;3 848;344
São José das Palmeiras;3 847;345
Conselheiro Mairinck;3 831;346
Bom Jesus do Sul;3 777;347
Lidianópolis;3 774;348
Corumbataí do Sul;3 749;349
Santa Amélia;3 684;350
Mato Rico;3 668;351
Prado Ferreira;3 668;352
Santa Cecília do Pavão;3 597;353
Diamante do Sul;3 568;354
Porto Barreiro;3 564;355
Nova América da Colina;3 553;356
Ourizona;3 488;357
Jundiaí do Sul;3 456;358
Arapuã;3 426;359
Farol;3 388;360
Bom Sucesso do Sul;3 365;361
Rio Bom;3 360;362
Itaúna do Sul;3 349;363
Altamira do Paraná;3 341;364
Sulina;3 293;365
Godoy Moreira;3 245;366
Ivatuba;3 201;367
Cruzmaltina;3 147;368
Inajá;3 119;369
Alto Paraíso;3 077;370
Pitangueiras;3 073;371
Paranapoema;3 050;372
Brasilândia do Sul;3 037;373
Ângulo;2 964;374
Manfrinópolis;2 954;375
Anahy;2 915;376
Novo Itacolomi;2 907;377
Cafeara;2 873;378
Rancho Alegre D'Oeste;2 833;379
Barra do Jacaré;2 821;380
Santo Antônio do Caiuá;2 757;381
Pinhal de São Bento;2 740;382
Boa Esperança do Iguaçu;2 716;383
Flórida;2 674;384
Porto Rico;2 608;385
Uniflor;2 593;386
Iracema do Oeste;2 512;387
São Pedro do Paraná;2 474;388
Ariranha do Ivaí;2 359;389
Mirador;2 334;390
Santo Antônio do Paraíso;2 333;391
Iguatu;2 302;392
Guaporema;2 290;393
São Manoel do Paraná;2 180;394
Esperança Nova;1 898;395
Miraselva;1 885;396
Santa Inês;1 765;397
Nova Aliança do Ivaí;1 518;398
Jardim Olinda;1 409;399
