performance;tempo
0.657282679125601;0.151739120483
0.7873171230774477;0.158595085144
0.8646455001193603;0.164072036743
0.8732735395423388;0.169309854507
0.8905978242335368;0.181315898895
0.8935477270402074;0.197952032089
0.8907001330013982;0.202062129974
0.8853630256112949;0.20356798172
0.8879036933465198;0.215739011765
0.8905296183882959;0.226260185242
0.8915186031442894;0.235385894775
0.9025167956893906;0.24796795845
0.9080585206152167;0.254681825638
0.9124407461719469;0.268118858337
0.9203185212972752;0.273929834366
0.9207618592913412;0.283612012863
0.9210687855949254;0.291129112244
0.9237117620980118;0.303810119629
0.9272755175118508;0.315258979797
0.9278552671963988;0.325383901596
0.9267980765951642;0.333844184875
0.9260648637588241;0.339803934097
0.9253487023837943;0.347202062607
0.9245472837022133;0.357388973236
0.9246495924700747;0.366532087326
0.9242233059373188;0.391788959503
0.9234048357944276;0.391670942307
0.9220407188896088;0.407297849655
0.9215803294342325;0.411995172501
0.9208300651365822;0.430768013
0.9198069774579681;0.427822828293
0.9210517341336153;0.44899392128
0.9217337925860246;0.450190782547
0.923149063874774;0.468858003616
0.9249053643897281;0.465750932693
0.9250588275415204;0.484191894531
0.9253145994611738;0.489949941635
0.9264229444463391;0.508646965027
0.9278211642737783;0.506433010101
0.9278552671963988;0.529021024704
